id,feature
80,238.13255076200588
81,58.12385537382075
82,90.75144177371317
83,260.9952105094509
84,49.965917035106855
85,238.25416184654944
86,58.23042772769584
87,90.8451027799846
88,261.07849899165245
89,50.040867164806855
90,238.32240891505324
91,58.29328631779287
92,90.90362966272123
93,261.13354368753784
94,50.09311258912146
95,238.37240405193018
96,58.34147248636352
97,90.95036163202903
98,261.179106650463
99,50.13773580743411
100,238.41627182531988
101,58.384732970257744
102,90.99313392608951
103,261.221486496909
104,50.1798001718291
105,238.4580825789885
106,58.4263398505196
107,91.03457691594113
108,261.2627977380103
109,50.22100550232099
110,238.49920276971895
111,58.467391598824655
112,91.07557364452903
113,261.3037502371709
114,50.26192244618732
115,238.5400911312809
116,58.508256983551746
117,91.1164205585642
118,261.3445823029268
119,50.302742575660744
